bug: apr_file_flush_locked in apr_file_buffer_set, pair: (__errno_location, apr_file_flush_locked), support: 7, confidence: 70%
bug: apr_file_flush_locked in setptr, pair: (apr_file_flush_locked, apr_thread_mutex_lock), support: 7, confidence: 70%
bug: apr_file_flush_locked in apr_file_info_get_locked, pair: (apr_file_flush_locked, apr_thread_mutex_unlock), support: 7, confidence: 70%
bug: apr_file_flush_locked in file_read_buffered, pair: (apr_file_flush_locked, apr_thread_mutex_unlock), support: 7, confidence: 70%
bug: apr_file_flush_locked in setptr, pair: (apr_file_flush_locked, apr_thread_mutex_unlock), support: 7, confidence: 70%
bug: lseek in apr_file_seek, pair: (apr_file_flush_locked, lseek), support: 3, confidence: 75%
bug: apr_fnmatch in find_desc, pair: (apr_fnmatch, apr_pstrdup), support: 5, confidence: 71.43%
bug: apr_fnmatch in make_autoindex_entry, pair: (apr_fnmatch, apr_pstrdup), support: 5, confidence: 71.43%
bug: apr_getnameinfo in ap_get_remote_host, pair: (apr_getnameinfo, apr_pstrdup), support: 3, confidence: 75%
bug: apr_pool_parent_get in ap_open_logs, pair: (apr_hash_make, apr_pool_parent_get), support: 3, confidence: 75%
bug: apr_hook_debug_show in ap_hook_default_port, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 28, confidence: 87.5%
bug: apr_hook_debug_show in ap_hook_http_scheme, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 28, confidence: 87.5%
bug: apr_hook_debug_show in ap_hook_log_transaction, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 28, confidence: 87.5%
bug: apr_hook_debug_show in ap_hook_post_read_request, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 28, confidence: 87.5%
bug: ms_release_conn in apr_memcache_stats, pair: (apr_memcache_disable_server, ms_release_conn), support: 6, confidence: 66.67%
bug: ms_release_conn in apr_memcache_version, pair: (apr_memcache_disable_server, ms_release_conn), support: 6, confidence: 66.67%
bug: ms_release_conn in mc_version_ping, pair: (apr_memcache_disable_server, ms_release_conn), support: 6, confidence: 66.67%
bug: apr_memcache_find_server_hash in apr_memcache_multgetp, pair: (apr_memcache_find_server_hash, ms_bad_conn), support: 4, confidence: 80%
bug: apr_memcache_find_server_hash in storage_cmd_write, pair: (apr_memcache_find_server_hash, strncmp), support: 4, confidence: 80%
bug: apr_memcache_hash in apr_memcache_multgetp, pair: (apr_memcache_hash, ms_bad_conn), support: 4, confidence: 80%
bug: apr_memcache_hash in storage_cmd_write, pair: (apr_memcache_hash, strncmp), support: 4, confidence: 80%
bug: apr_procattr_cmdtype_set in run_cgi_child, pair: (apr_palloc, apr_procattr_cmdtype_set), support: 3, confidence: 75%
bug: apr_thread_mutex_create in apr_dbd_init, pair: (apr_palloc, apr_thread_mutex_create), support: 7, confidence: 70%
bug: apr_thread_mutex_create in apr_pool_initialize, pair: (apr_palloc, apr_thread_mutex_create), support: 7, confidence: 70%
bug: apr_thread_mutex_create in apu_dso_init, pair: (apr_palloc, apr_thread_mutex_create), support: 7, confidence: 70%
bug: c2x in ap_escape_errorlog_item, pair: (apr_palloc, c2x), support: 3, confidence: 75%
bug: apr_thread_mutex_create in apr_memcache_server_create, pair: (apr_pool_cleanup_register, apr_thread_mutex_create), support: 7, confidence: 70%
bug: apr_thread_mutex_create in apr_pool_initialize, pair: (apr_pool_cleanup_register, apr_thread_mutex_create), support: 7, confidence: 70%
bug: apr_thread_mutex_create in thread_pool_construct, pair: (apr_pool_cleanup_register, apr_thread_mutex_create), support: 7, confidence: 70%
bug: set_socket_vars in apr_os_sock_put, pair: (apr_pool_cleanup_register, set_socket_vars), support: 3, confidence: 75%
bug: apr_procattr_cmdtype_set in run_cgi_child, pair: (apr_procattr_cmdtype_set, apr_pstrdup), support: 3, confidence: 75%
bug: apu__sdbm_hash in apu__sdbm_splpage, pair: (apr_sdbm_lock, apu__sdbm_hash), support: 3, confidence: 75%
bug: apu__sdbm_hash in apu__sdbm_splpage, pair: (apr_sdbm_unlock, apu__sdbm_hash), support: 3, confidence: 75%
bug: apr_socket_sendv in apr_socket_sendfile, pair: (apr_socket_sendv, get_server_line), support: 8, confidence: 66.67%
bug: apr_socket_sendv in conn_clean, pair: (apr_socket_sendv, get_server_line), support: 8, confidence: 66.67%
bug: apr_socket_sendv in writev_it_all, pair: (apr_socket_sendv, get_server_line), support: 8, confidence: 66.67%
bug: apr_socket_sendv in apr_socket_sendfile, pair: (apr_socket_sendv, ms_find_conn), support: 8, confidence: 66.67%
bug: apr_socket_sendv in conn_clean, pair: (apr_socket_sendv, ms_find_conn), support: 8, confidence: 66.67%
bug: apr_socket_sendv in writev_it_all, pair: (apr_socket_sendv, ms_find_conn), support: 8, confidence: 66.67%
bug: apr_socket_sendv in apr_socket_sendfile, pair: (apr_socket_sendv, ms_release_conn), support: 8, confidence: 66.67%
bug: apr_socket_sendv in conn_clean, pair: (apr_socket_sendv, ms_release_conn), support: 8, confidence: 66.67%
bug: apr_socket_sendv in writev_it_all, pair: (apr_socket_sendv, ms_release_conn), support: 8, confidence: 66.67%
bug: ms_release_conn in mget_conn_result, pair: (apr_socket_sendv, ms_release_conn), support: 8, confidence: 88.89%
bug: apr_table_do in ap_send_interim_response, pair: (apr_table_do, apr_table_setn), support: 3, confidence: 75%
bug: apr_thread_mutex_lock in apr_dbd_mutex_lock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 43, confidence: 87.76%
bug: apr_thread_mutex_lock in apu_dso_mutex_lock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 43, confidence: 87.76%
bug: lseek in setptr, pair: (apr_thread_mutex_lock, lseek), support: 3, confidence: 75%
bug: lseek in setptr, pair: (apr_thread_mutex_unlock, lseek), support: 3, confidence: 75%
bug: apu__sdbm_hash in apu__sdbm_splpage, pair: (apu__sdbm_hash, getpage), support: 3, confidence: 75%
bug: c2x in ap_escape_errorlog_item, pair: (c2x, strlen), support: 3, confidence: 75%
bug: poll in apr_wait_for_io_or_timeout, pair: (get_revent, poll), support: 3, confidence: 75%
bug: get_server_line in apr_memcache_multgetp, pair: (get_server_line, ms_bad_conn), support: 7, confidence: 77.78%
bug: ms_release_conn in mget_conn_result, pair: (get_server_line, ms_release_conn), support: 8, confidence: 88.89%
bug: get_server_line in mc_version_ping, pair: (get_server_line, strncmp), support: 6, confidence: 66.67%
bug: get_server_line in storage_cmd_write, pair: (get_server_line, strncmp), support: 6, confidence: 66.67%
bug: ms_find_conn in apr_memcache_multgetp, pair: (ms_bad_conn, ms_find_conn), support: 7, confidence: 87.5%
bug: ms_release_conn in apr_memcache_multgetp, pair: (ms_bad_conn, ms_release_conn), support: 8, confidence: 88.89%
bug: ms_release_conn in mget_conn_result, pair: (ms_find_conn, ms_release_conn), support: 8, confidence: 88.89%
bug: ms_find_conn in mc_version_ping, pair: (ms_find_conn, strncmp), support: 6, confidence: 75%
bug: ms_find_conn in storage_cmd_write, pair: (ms_find_conn, strncmp), support: 6, confidence: 75%
bug: ms_release_conn in apr_memcache_stats, pair: (ms_release_conn, strlen), support: 6, confidence: 66.67%
bug: ms_release_conn in apr_memcache_version, pair: (ms_release_conn, strlen), support: 6, confidence: 66.67%
bug: ms_release_conn in mc_version_ping, pair: (ms_release_conn, strlen), support: 6, confidence: 66.67%
bug: ms_release_conn in mc_version_ping, pair: (ms_release_conn, strncmp), support: 6, confidence: 66.67%
bug: ms_release_conn in mget_conn_result, pair: (ms_release_conn, strncmp), support: 6, confidence: 66.67%
bug: ms_release_conn in storage_cmd_write, pair: (ms_release_conn, strncmp), support: 6, confidence: 66.67%
bug: qsort in ap_core_reorder_directories, pair: (qsort, strcmp), support: 4, confidence: 66.67%
bug: qsort in index_directory, pair: (qsort, strcmp), support: 4, confidence: 66.67%
bug: table_reindex in apr_table_overlay, pair: (strcasecmp, table_reindex), support: 4, confidence: 80%
